Centre 2015,PASS (Initial Test),FAIL (Initial Test),PASS (Re-test),FAIL (Re-test),Total Passes
Abbeyfeale,8642,7782,7259,783,15901
Arklow,14582,14777,12733,1351,27315
Athlone,9044,9121,8720,788,17764
Ballina,8648,9352,8638,662,17286
Ballinasloe,7332,6767,6396,535,13728
Cahir,15884,15639,14309,1262,30193
Cahirciveen,1930,1853,1702,76,3632
Carlow,13711,16395,14544,1568,28255
Carndonagh,3746,3845,3693,375,7439
Carrick-on-Shannon,6038,7016,6430,573,12468
Castlerea,7048,8229,7529,725,14577
Cavan,7083,9212,8820,1031,15903
Charleville,8620,9302,8518,792,17138
Clifden,1734,2975,2725,310,4459
Cork-Blarney,22123,24592,21348,2198,43471
Cork-Little Island,40254,35872,34612,3151,74866
Deansgrange,54974,44857,43563,4081,98537
Derrybeg,2625,3378,3242,270,5867
Donegal,5971,5679,5326,606,11297
Drogheda,19157,17852,16003,1646,35160
Dundalk,10875,12687,11465,1341,22340
Ennis,15448,17534,16230,1693,31678
Enniscorthy,17397,19221,17929,1721,35326
Fonthill,42483,51264,43791,4963,86274
Galway,27818,33163,30514,3043,58332
Greenhills,36201,38130,36347,3854,72548
Kells,15878,18118,15756,1722,31634
Kilkenny,16138,12684,12185,798,28323
Killarney,11252,8641,8345,551,19597
Letterkenny,10388,12883,11833,1231,22221
Limerick,25462,26796,26039,2837,51501
Longford,6379,8718,7763,980,14142
Macroom,9094,7950,7339,577,16433
Monaghan,5600,9069,8245,990,13845
Mullingar,9527,11395,10300,997,19827
Naas,23516,27333,23115,2319,46631
Nenagh,13076,13998,12622,1152,25698
Northpoint 1 ,31748,36334,33943,4114,65691
Northpoint 2 ,43951,48898,43822,4523,87773
Portlaoise,14511,11563,10465,802,24976
Skibbereen,8043,8829,8250,582,16293
Sligo,9650,11275,10443,876,20093
Tralee,13911,10466,9793,807,23704
Tullamore,11989,10740,9850,832,21839
Waterford,21418,19759,17686,1760,39104
Westport,11216,11379,10615,814,21831
Youghal,8199,8543,7570,649,15769
Total ,730314,761865,698365,69311,1428679
